Address,storey_range,month,town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Latitude,Longtitude
1 QUEEN'S RD,04 TO 06,2022-07,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974.0,52 years 05 months,900000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,07 TO 09,2020-03,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974.0,54 years,890000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,10 TO 12,2021-08,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974.0,51 years 09 months,950000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,16 TO 18,2018-10,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,125.0,Standard,1974.0,55 years 04 months,888000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,19 TO 21,2021-06,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974.0,51 years 11 months,912000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,22 TO 24,2017-05,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,120.0,Standard,1974.0,56 years,915000.0,1.31726629524359,103.806782877524
1 TOH YI DR,01 TO 03,2020-09,BUKIT TIMAH,5 ROOM,1,TOH YI DR,122.0,Model A,1988.0,69 years 01 month,830000.0,1.33958155877064,103.774586318946
1 TOH YI DR,04 TO 06,2022-09,BUKIT TIMAH,4 ROOM,1,TOH YI DR,104.0,Model A,1988.0,70 years 01 month,743888.0,1.33958155877064,103.774586318946
1 TOH YI DR,07 TO 09,2019-05,BUKIT TIMAH,5 ROOM,1,TOH YI DR,122.0,Model A,1988.0,70 years 01 month,823000.0,1.33958155877064,103.774586318946
1 TOH YI DR,10 TO 12,2020-05,BUKIT TIMAH,5 ROOM,1,TOH YI DR,128.0,Improved,1988.0,69 years 06 months,900000.0,1.33958155877064,103.774586318946
1 TOH YI DR,13 TO 15,2018-12,BUKIT TIMAH,5 ROOM,1,TOH YI DR,122.0,Improved,1988.0,68 years 07 months,850000.0,1.33958155877064,103.774586318946
10 TOH YI DR,04 TO 06,2020-07,BUKIT TIMAH,EXECUTIVE,10,TOH YI DR,154.0,Maisonette,1989.0,70 years 07 months,1058000.0,1.33753956576433,103.773161066389
11 TOH YI DR,01 TO 03,2022-11,BUKIT TIMAH,5 ROOM,11,TOH YI DR,122.0,Model A,1989.0,71 years,850000.0,1.33800261167656,103.77260327239
11 TOH YI DR,04 TO 06,2021-08,BUKIT TIMAH,5 ROOM,11,TOH YI DR,128.0,Model A,1989.0,71 years 03 months,805000.0,1.33800261167656,103.77260327239
11 TOH YI DR,07 TO 09,2022-01,BUKIT TIMAH,4 ROOM,11,TOH YI DR,108.0,Model A,1989.0,70 years 02 months,828000.0,1.33800261167656,103.77260327239
11 TOH YI DR,10 TO 12,2020-11,BUKIT TIMAH,4 ROOM,11,TOH YI DR,108.0,Model A,1989.0,69 years 11 months,720000.0,1.33800261167656,103.77260327239
12 TOH YI DR,01 TO 03,2022-04,BUKIT TIMAH,4 ROOM,12,TOH YI DR,104.0,Model A,1989.0,66 years 11 months,688000.0,1.33840274340359,103.772685810097
12 TOH YI DR,04 TO 06,2022-10,BUKIT TIMAH,5 ROOM,12,TOH YI DR,122.0,Improved,1989.0,69 years 04 months,900000.0,1.33840274340359,103.772685810097
12 TOH YI DR,07 TO 09,2021-06,BUKIT TIMAH,5 ROOM,12,TOH YI DR,122.0,Model A,1989.0,69 years 02 months,889000.0,1.33840274340359,103.772685810097
12 TOH YI DR,10 TO 12,2022-05,BUKIT TIMAH,4 ROOM,12,TOH YI DR,104.0,Model A,1989.0,71 years,780000.0,1.33840274340359,103.772685810097
13 TOH YI DR,01 TO 03,2022-05,BUKIT TIMAH,5 ROOM,13,TOH YI DR,128.0,Improved,1988.0,69 years 05 months,840000.0,1.33873616480056,103.772438331932
13 TOH YI DR,04 TO 06,2021-09,BUKIT TIMAH,5 ROOM,13,TOH YI DR,128.0,Model A,1988.0,68 years 10 months,775000.0,1.33873616480056,103.772438331932
13 TOH YI DR,07 TO 09,2022-02,BUKIT TIMAH,5 ROOM,13,TOH YI DR,122.0,Model A,1988.0,70 years,805000.0,1.33873616480056,103.772438331932
13 TOH YI DR,10 TO 12,2022-09,BUKIT TIMAH,5 ROOM,13,TOH YI DR,128.0,Model A,1988.0,70 years 03 months,905000.0,1.33873616480056,103.772438331932
13 TOH YI DR,13 TO 15,2021-10,BUKIT TIMAH,4 ROOM,13,TOH YI DR,104.0,Model A,1988.0,70 years 05 months,777000.0,1.33873616480056,103.772438331932
14 TOH YI DR,04 TO 06,2022-12,BUKIT TIMAH,4 ROOM,14,TOH YI DR,104.0,Model A,1988.0,68 years 06 months,703600.0,1.33908702611922,103.772569349944
14 TOH YI DR,07 TO 09,2021-09,BUKIT TIMAH,5 ROOM,14,TOH YI DR,122.0,Model A,1988.0,68 years 04 months,870000.0,1.33908702611922,103.772569349944
14 TOH YI DR,10 TO 12,2019-04,BUKIT TIMAH,5 ROOM,14,TOH YI DR,122.0,Model A,1988.0,70 years 03 months,818000.0,1.33908702611922,103.772569349944
14 TOH YI DR,13 TO 15,2018-12,BUKIT TIMAH,5 ROOM,14,TOH YI DR,122.0,Model A,1988.0,70 years 02 months,825000.0,1.33908702611922,103.772569349944
15 TOH YI DR,01 TO 03,2021-03,BUKIT TIMAH,EXECUTIVE,15,TOH YI DR,146.0,Maisonette,1988.0,70 years 06 months,958000.0,1.33931085810035,103.772051477646
16 TOH YI DR,01 TO 03,2021-11,BUKIT TIMAH,5 ROOM,16,TOH YI DR,122.0,Model A,1988.0,69 years 04 months,800000.0,1.33940868079894,103.772605679864
16 TOH YI DR,04 TO 06,2022-10,BUKIT TIMAH,5 ROOM,16,TOH YI DR,122.0,Model A,1988.0,70 years 03 months,863000.0,1.33940868079894,103.772605679864
16 TOH YI DR,07 TO 09,2020-09,BUKIT TIMAH,5 ROOM,16,TOH YI DR,122.0,Model A,1988.0,70 years 02 months,828000.0,1.33940868079894,103.772605679864
16 TOH YI DR,10 TO 12,2021-09,BUKIT TIMAH,5 ROOM,16,TOH YI DR,122.0,Model A,1988.0,70 years 07 months,785000.0,1.33940868079894,103.772605679864
16 TOH YI DR,13 TO 15,2017-09,BUKIT TIMAH,4 ROOM,16,TOH YI DR,104.0,Model A,1988.0,70 years 02 months,698000.0,1.33940868079894,103.772605679864
17 TOH YI DR,01 TO 03,2019-03,BUKIT TIMAH,5 ROOM,17,TOH YI DR,128.0,Model A,1988.0,70 years 05 months,720000.0,1.33976904024065,103.772556110778
17 TOH YI DR,04 TO 06,2022-07,BUKIT TIMAH,5 ROOM,17,TOH YI DR,122.0,Model A,1988.0,67 years 08 months,862888.0,1.33976904024065,103.772556110778
17 TOH YI DR,07 TO 09,2019-12,BUKIT TIMAH,5 ROOM,17,TOH YI DR,122.0,Model A,1988.0,70 years 04 months,760000.0,1.33976904024065,103.772556110778
17 TOH YI DR,10 TO 12,2022-11,BUKIT TIMAH,5 ROOM,17,TOH YI DR,127.0,Model A,1988.0,69 years 06 months,940000.0,1.33976904024065,103.772556110778
17 TOH YI DR,13 TO 15,2022-01,BUKIT TIMAH,5 ROOM,17,TOH YI DR,122.0,Model A,1988.0,69 years 01 month,800000.0,1.33976904024065,103.772556110778
18 TOH YI DR,01 TO 03,2017-03,BUKIT TIMAH,4 ROOM,18,TOH YI DR,88.0,Simplified,1989.0,71 years 02 months,600000.0,1.33999732042821,103.772960761405
18 TOH YI DR,04 TO 06,2022-07,BUKIT TIMAH,4 ROOM,18,TOH YI DR,84.0,Simplified,1989.0,66 years 02 months,555000.0,1.33999732042821,103.772960761405
19 TOH YI DR,01 TO 03,2017-12,BUKIT TIMAH,3 ROOM,19,TOH YI DR,64.0,Simplified,1988.0,69 years 09 months,370000.0,1.33996269630769,103.77389767866
19 TOH YI DR,04 TO 06,2018-12,BUKIT TIMAH,4 ROOM,19,TOH YI DR,84.0,Simplified,1988.0,70 years,619888.0,1.33996269630769,103.77389767866
2 QUEEN'S RD,01 TO 03,2022-06,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,89.0,Improved,1974.0,51 years 04 months,628000.0,1.32280086346268,103.811023492628
2 QUEEN'S RD,04 TO 06,2020-09,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,89.0,Improved,1974.0,55 years 10 months,575000.0,1.32280086346268,103.811023492628
2 QUEEN'S RD,07 TO 09,2022-06,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,89.0,Improved,1974.0,54 years 06 months,600000.0,1.32280086346268,103.811023492628
2 QUEEN'S RD,10 TO 12,2022-10,BUKIT TIMAH,4 ROOM,2,QUEEN'S RD,89.0,Improved,1974.0,55 years 01 month,635000.0,1.32280086346268,103.811023492628
2 TOH YI DR,01 TO 03,2021-01,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,150.0,Maisonette,1988.0,68 years 03 months,950000.0,1.33917480423577,103.775341419034
2 TOH YI DR,04 TO 06,2022-07,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,150.0,Maisonette,1988.0,69 years 11 months,1120777.0,1.33917480423577,103.775341419034
2 TOH YI DR,07 TO 09,2022-01,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,146.0,Maisonette,1988.0,67 years 08 months,1202000.0,1.33917480423577,103.775341419034
2 TOH YI DR,10 TO 12,2021-03,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,146.0,Maisonette,1988.0,69 years 01 month,1038000.0,1.33917480423577,103.775341419034
2 TOH YI DR,13 TO 15,2022-03,BUKIT TIMAH,EXECUTIVE,2,TOH YI DR,154.0,Maisonette,1988.0,70 years 03 months,1210000.0,1.33917480423577,103.775341419034
3 QUEEN'S RD,04 TO 06,2022-12,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974.0,55 years 04 months,588000.0,1.31833337221312,103.808097181789
3 QUEEN'S RD,07 TO 09,2022-07,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974.0,55 years,580000.0,1.31833337221312,103.808097181789
3 QUEEN'S RD,10 TO 12,2022-11,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,91.0,Improved,1974.0,54 years 09 months,608000.0,1.31833337221312,103.808097181789
3 TOH YI DR,01 TO 03,2022-12,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,150.0,Maisonette,1988.0,70 years 04 months,1290800.0,1.33877430429858,103.775254200454
3 TOH YI DR,04 TO 06,2021-09,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,146.0,Maisonette,1988.0,66 years 06 months,1010000.0,1.33877430429858,103.775254200454
3 TOH YI DR,07 TO 09,2021-03,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,150.0,Maisonette,1988.0,66 years 11 months,1020000.0,1.33877430429858,103.775254200454
3 TOH YI DR,10 TO 12,2022-11,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,146.0,Maisonette,1988.0,66 years 07 months,1275000.0,1.33877430429858,103.775254200454
4 QUEEN'S RD,01 TO 03,2022-11,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,73.0,Improved,1974.0,50 years 06 months,400000.0,1.31883225284458,103.808061967625
4 QUEEN'S RD,04 TO 06,2022-08,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,74.0,Improved,1974.0,55 years 07 months,458000.0,1.31883225284458,103.808061967625
4 QUEEN'S RD,07 TO 09,2022-02,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,74.0,Improved,1974.0,56 years 02 months,450000.0,1.31883225284458,103.808061967625
4 QUEEN'S RD,10 TO 12,2022-03,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,74.0,Improved,1974.0,55 years 08 months,465000.0,1.31883225284458,103.808061967625
4 TOH YI DR,01 TO 03,2021-10,BUKIT TIMAH,5 ROOM,4,TOH YI DR,127.0,Model A,1988.0,69 years 01 month,860000.0,1.3385120672333,103.774569823527
4 TOH YI DR,04 TO 06,2020-10,BUKIT TIMAH,5 ROOM,4,TOH YI DR,122.0,Model A,1988.0,69 years 02 months,832000.0,1.3385120672333,103.774569823527
4 TOH YI DR,07 TO 09,2021-07,BUKIT TIMAH,5 ROOM,4,TOH YI DR,127.0,Model A,1988.0,70 years 07 months,880000.0,1.3385120672333,103.774569823527
4 TOH YI DR,10 TO 12,2022-02,BUKIT TIMAH,4 ROOM,4,TOH YI DR,104.0,Model A,1988.0,70 years,776000.0,1.3385120672333,103.774569823527
4 TOH YI DR,13 TO 15,2020-12,BUKIT TIMAH,4 ROOM,4,TOH YI DR,104.0,Model A,1988.0,69 years 09 months,735000.0,1.3385120672333,103.774569823527
5 FARRER RD,01 TO 03,2019-03,BUKIT TIMAH,5 ROOM,5,FARRER RD,123.0,Standard,1974.0,54 years 02 months,830000.0,1.31655990980042,103.807288102167
5 FARRER RD,04 TO 06,2021-01,BUKIT TIMAH,5 ROOM,5,FARRER RD,120.0,Standard,1974.0,52 years 04 months,828000.0,1.31655990980042,103.807288102167
5 FARRER RD,07 TO 09,2020-01,BUKIT TIMAH,5 ROOM,5,FARRER RD,123.0,Standard,1974.0,53 years 06 months,855000.0,1.31655990980042,103.807288102167
5 FARRER RD,10 TO 12,2018-02,BUKIT TIMAH,5 ROOM,5,FARRER RD,125.0,Standard,1974.0,56 years 03 months,890000.0,1.31655990980042,103.807288102167
5 FARRER RD,13 TO 15,2022-04,BUKIT TIMAH,5 ROOM,5,FARRER RD,123.0,Standard,1974.0,55 years 01 month,888000.0,1.31655990980042,103.807288102167
5 FARRER RD,19 TO 21,2018-03,BUKIT TIMAH,5 ROOM,5,FARRER RD,123.0,Standard,1974.0,55 years 01 month,883000.0,1.31655990980042,103.807288102167
5 TOH YI DR,01 TO 03,2020-06,BUKIT TIMAH,5 ROOM,5,TOH YI DR,127.0,Improved,1989.0,70 years 05 months,828000.0,1.33820236785945,103.774522626293
5 TOH YI DR,04 TO 06,2022-09,BUKIT TIMAH,5 ROOM,5,TOH YI DR,122.0,Model A,1989.0,69 years 01 month,898000.0,1.33820236785945,103.774522626293
5 TOH YI DR,07 TO 09,2022-10,BUKIT TIMAH,5 ROOM,5,TOH YI DR,122.0,Model A,1989.0,71 years 04 months,981888.88,1.33820236785945,103.774522626293
5 TOH YI DR,10 TO 12,2022-08,BUKIT TIMAH,5 ROOM,5,TOH YI DR,127.0,Model A,1989.0,71 years 04 months,867000.0,1.33820236785945,103.774522626293
5 TOH YI DR,13 TO 15,2020-03,BUKIT TIMAH,5 ROOM,5,TOH YI DR,122.0,Improved,1989.0,68 years 03 months,860000.0,1.33820236785945,103.774522626293
6 FARRER RD,01 TO 03,2022-09,BUKIT TIMAH,4 ROOM,6,FARRER RD,91.0,Improved,1974.0,52 years 01 month,575000.0,1.31731971359864,103.808057181184
6 FARRER RD,04 TO 06,2021-01,BUKIT TIMAH,4 ROOM,6,FARRER RD,91.0,Improved,1974.0,55 years 08 months,550000.0,1.31731971359864,103.808057181184
6 FARRER RD,07 TO 09,2022-09,BUKIT TIMAH,4 ROOM,6,FARRER RD,91.0,Improved,1974.0,54 years 03 months,560000.0,1.31731971359864,103.808057181184
6 FARRER RD,10 TO 12,2022-07,BUKIT TIMAH,4 ROOM,6,FARRER RD,91.0,Improved,1974.0,56 years 01 month,621888.0,1.31731971359864,103.808057181184
6 TOH YI DR,01 TO 03,2022-02,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,150.0,Maisonette,1989.0,70 years 01 month,1120000.0,1.33777302768485,103.775130712626
6 TOH YI DR,04 TO 06,2021-12,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,154.0,Maisonette,1989.0,70 years 08 months,1238000.0,1.33777302768485,103.775130712626
6 TOH YI DR,07 TO 09,2022-09,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,154.0,Maisonette,1989.0,70 years 11 months,1280000.0,1.33777302768485,103.775130712626
6 TOH YI DR,10 TO 12,2019-11,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,150.0,Maisonette,1989.0,71 years 03 months,1020000.0,1.33777302768485,103.775130712626
6 TOH YI DR,13 TO 15,2021-04,BUKIT TIMAH,EXECUTIVE,6,TOH YI DR,154.0,Maisonette,1989.0,67 years 03 months,1160000.0,1.33777302768485,103.775130712626
7 TOH YI DR,01 TO 03,2021-07,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,146.0,Maisonette,1989.0,69 years 01 month,1050000.0,1.33737314445096,103.775043151688
7 TOH YI DR,04 TO 06,2021-12,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,146.0,Maisonette,1989.0,71 years 07 months,1125000.0,1.33737314445096,103.775043151688
7 TOH YI DR,07 TO 09,2022-10,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,146.0,Maisonette,1989.0,66 years,1200000.0,1.33737314445096,103.775043151688
7 TOH YI DR,10 TO 12,2020-07,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,146.0,Maisonette,1989.0,69 years 03 months,990000.0,1.33737314445096,103.775043151688
8 EMPRESS RD,04 TO 06,2022-06,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,76.0,Improved,1976.0,58 years 01 month,495000.0,1.31641190098174,103.805373811937
8 EMPRESS RD,07 TO 09,2022-01,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,65.0,Improved,1976.0,58 years 01 month,428000.0,1.31641190098174,103.805373811937
8 EMPRESS RD,10 TO 12,2022-10,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,65.0,Improved,1976.0,57 years 09 months,450000.0,1.31641190098174,103.805373811937
8 EMPRESS RD,13 TO 15,2022-07,BUKIT TIMAH,5 ROOM,8,EMPRESS RD,130.0,Improved,1976.0,57 years 06 months,755000.0,1.31641190098174,103.805373811937
8 TOH YI DR,01 TO 03,2022-03,BUKIT TIMAH,EXECUTIVE,8,TOH YI DR,146.0,Maisonette,1989.0,70 years 05 months,1070000.0,1.33796491184368,103.774015746707
9 TOH YI DR,01 TO 03,2021-05,BUKIT TIMAH,5 ROOM,9,TOH YI DR,122.0,Model A,1989.0,69 years 01 month,893000.0,1.33830479751081,103.773541593643
9 TOH YI DR,10 TO 12,2021-08,BUKIT TIMAH,5 ROOM,9,TOH YI DR,127.0,Model A,1989.0,69 years 10 months,880000.0,1.33830479751081,103.773541593643
9 TOH YI DR,13 TO 15,2020-12,BUKIT TIMAH,5 ROOM,9,TOH YI DR,122.0,Improved,1989.0,67 years 05 months,928000.0,1.33830479751081,103.773541593643
